chapter_number,chapter_title,characters_without_spaces,characters_with_spaces,words,filename
1,первая,18,22,4,01. Часть первая [18].txt
2,1,26969,32180,4974,02. Глава 1 [26969].txt
3,2,22060,26222,3995,03. Глава 2 [22060].txt
4,вторая,25,30,5,04. Часть вторая [25].txt
5,3,28640,34362,5460,05. Глава 3 [28640].txt
6,4,22868,27434,4386,06. Глава 4 [22868].txt
7,5,25652,30572,4753,07. Глава 5 [25652].txt
8,6,27514,32842,5102,08. Глава 6 [27514].txt
9,7,33000,39670,6420,09. Глава 7 [33000].txt
10,8,31027,37276,6009,10. Глава 8 [31027].txt
11,9,30159,36075,5680,11. Глава 9 [30159].txt
12,10,22667,27142,4256,12. Глава 10 [22667].txt
13,11,14711,17529,2698,13. Глава 11 [14711].txt
14,12,14112,17037,2774,14. Глава 12 [14112].txt
15,13,24507,29388,4693,15. Глава 13 [24507].txt
16,14,16575,19879,3159,16. Глава 14 [16575].txt
17,15,16902,20261,3206,17. Глава 15 [16902].txt
18,16,19434,23302,3703,18. Глава 16 [19434].txt
19,третья,17,20,3,19. Часть третья [17].txt
20,17,12741,15225,2355,20. Глава 17 [12741].txt
21,18,8644,10612,1585,21. Глава 18 [8644].txt
